penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
L2,7,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5429,17.75,0.556,0.0458,0.5887,17.75,True
L2,7,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5583,15.02,0.5528,0.0304,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5828,16.38,0.5336,0.0059,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5356,17.41,0.5614,0.0531,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.542,18.77,0.5586,0.0468,0.5887,17.75,False
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5429,17.41,0.5571,0.0458,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.567,16.38,0.5477,0.0218,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5306,18.09,0.5646,0.0581,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5601,16.38,0.5529,0.0286,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5701,14.68,0.5507,0.0186,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5447,17.75,0.5559,0.044,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5479,16.38,0.558,0.0409,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.571,16.04,0.5414,0.0177,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5379,17.75,0.5624,0.0508,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5325,17.06,0.5642,0.0563,0.5887,17.75,True
L2,8,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5583,15.36,0.5523,0.0304,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5792,16.04,0.5329,0.0095,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5384,17.41,0.5594,0.0504,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5411,18.43,0.5595,0.0477,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5402,17.41,0.5563,0.0486,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5715,16.38,0.5458,0.0172,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5365,18.09,0.5601,0.0522,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5588,15.7,0.5532,0.03,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5688,14.68,0.5503,0.02,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5506,18.09,0.5504,0.0381,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5479,16.38,0.5544,0.0409,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5379,18.09,0.5615,0.0508,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5352,17.75,0.561,0.0536,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5374,17.06,0.5609,0.0513,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑",0.601,13.31,0.5283,-0.0123,0.5887,17.75,False
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5325,16.72,0.5645,0.0563,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5588,16.38,0.5518,0.03,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5402,17.06,0.5569,0.0486,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5329,18.09,0.563,0.0558,0.5887,17.75,True
