penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
EN,7,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5391,17.12,0.5604,2198,0.0496,0.5887,17.75,True
L2,7,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5324,16.67,0.5676,2177,0.0564,0.5887,17.75,True
EN,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.5234,18.06,0.5696,2176,0.0653,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.5023,18.75,0.5831,2176,0.0864,0.5887,17.75,False
EN,9,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.512,18.4,0.5755,2174,0.0768,0.5887,17.75,True
L2,9,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.4995,19.1,0.5822,2176,0.0892,0.5887,17.75,False
EN,10,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.4981,18.82,0.5841,2158,0.0906,0.5887,17.75,False
L2,10,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.4899,19.44,0.5915,2174,0.0989,0.5887,17.75,False
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,Q18,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.4922,18.06,0.5878,2170,0.0966,0.5887,17.75,True
L2,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.4885,18.4,0.5937,2174,0.1002,0.5887,17.75,True
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.4908,18.4,0.5887,2170,0.098,0.5887,17.75,True
