question_num,question_label,item_score,response_option_text,revised_assistance_level
1,Eating,3,ate without help + knife,bADL - independent
1,Eating,2,fork or spoon but no knife,bADL - independent
1,Eating,1,fingers,bADL - limited assistance
1,Eating,0,fed by someone else,bADL - physical help/dependent
2,Walking,3,"mobile outside home, no help",bADL - independent
2,Walking,2,"mobile across room, no help",bADL - reduced level of independent function
2,Walking,1,"transfer from bed to chair, no help",bADL - physical help/dependent
2,Walking,0,physical help to walk or transfer,bADL - physical help/dependent
3,Toileting,3,independent,bADL - independent
3,Toileting,2,supervision but no physical help,bADL - supervision needed
3,Toileting,1,"continent, but needs physical help",bADL - physical help/dependent
3,Toileting,0,incontinent and needs physical help,bADL - physical help/dependent
4,Bathing,3,independent,bADL - independent
4,Bathing,2,supervision/reminders but no physical help,bADL - supervision needed
4,Bathing,1,"minor physical help (e.g., hair wash)",bADL - limited assistance
4,Bathing,0,needs to be bathed,bADL - physical help/dependent
5,Grooming,3,"cleaned and cut fingernails, no physical help",bADL - independent
5,Grooming,2,"brushed or combed hair, no physical help",bADL - independent
5,Grooming,1,"kept face and hands clean, no physical help",bADL - independent
5,Grooming,0,"needs help grooming hair, face, hands, nails",bADL - physical help/dependent
6a,Selected clothes,3,independent,iADL - independent
6a,Selected clothes,2,with supervision,iADL - supervision needed
6a,Selected clothes,1,with physical help,iADL - physical help
6a,Selected clothes,0,did not do,iADL - no participation/dependent
6b,Get dressed,4,independent,bADL - independent
6b,Get dressed,3,with supervision,bADL - supervision needed
6b,Get dressed,2,"physical help only for buttons, clasps, laces",bADL - minor/limited assistance
6b,Get dressed,1,dressed with no help if clothes needed no fastening or buttoning,bADL - minor/limited assistance
6b,Get dressed,0,needed help regardless of clothing type,bADL - physical help/dependent
7,Telephone,5,"made calls, looked up numbers or used directory assistance",iADL - independent
7,Telephone,4,"made calls only to well-known numbers, without directory or list",iADL - reduced level of independent function
7,Telephone,3,"made calls only to well know numbers, with directory or list",iADL - reduced level of independent function
7,Telephone,2,"answered phone, but did not dial out",iADL - limited assistance/ supervision needed
7,Telephone,1,"did not answer phone, but spoke if put on the line",iADL - physical help
7,Telephone,0,did not use phone,iADL - no participation/dependent
10,Cleared dishes from table,3,independent,iADL - independent
10,Cleared dishes from table,2,with supervision,iADL - supervision needed
10,Cleared dishes from table,1,with physical help,iADL - physical help
10,Cleared dishes from table,0,did not do,iADL - no participation/dependent
11,Find personal belongings,3,independent,iADL - independent
